month,ticker
2020-03,LIN
2020-03,LKQ
2020-03,LLY
2020-03,LMT
2020-03,LOW
2020-03,LRCX
2020-03,LUV
2020-03,LVS
2020-03,LW
2020-03,LYB
2020-03,M
2020-03,MA
2020-03,MAA
2020-03,MAR
2020-03,MCD
2020-03,MCHP
2020-03,MCK
2020-03,MCO
2020-03,MDLZ
2020-03,MDT
2020-03,MGM
2020-03,MHK
2020-03,MKC
2020-03,MLM
2020-03,MMM
2020-03,MNST
2020-03,MPC
2020-03,MRK
2020-03,MRO
2020-03,MSCI
2020-03,MSFT
2020-03,MSI
2020-03,MTD
2020-03,MU
2020-03,MXIM
2020-03,MYL
2020-03,NCLH
2020-03,NDAQ
2020-03,NEE
2020-03,NEM
2020-03,NFLX
2020-03,NKE
2020-03,NLSN
2020-03,NOC
2020-03,NOW
2020-03,NRG
2020-03,NSC
2020-03,NTAP
2020-03,NUE
2020-03,NVDA
2020-03,NVR
2020-03,NWL
2020-03,O
2020-03,OKE
2020-03,OMC
2020-03,ORLY
2020-03,OXY
2020-03,PAYC
2020-03,PEAK
2020-03,PEP
2020-03,PFE
2020-03,PG
2020-03,PH
2020-03,PHM
2020-03,PKG
2020-03,PKI
2020-03,PLD
2020-03,PM
2020-03,PNR
2020-03,PNW
2020-03,PPG
2020-03,PRGO
2020-03,PSX
2020-03,PVH
2020-03,PWR
2020-03,PXD
2020-03,PYPL
2020-03,QCOM
2020-03,QRVO
2020-03,REG
2020-03,REGN
2020-03,RHI
2020-03,RL
2020-03,ROK
2020-03,ROL
2020-03,ROP
2020-03,ROST
2020-03,RSG
2020-03,SBAC
2020-03,SBUX
2020-03,SEE
2020-03,SHW
2020-03,SLB
2020-03,SNPS
2020-03,SPG
2020-03,SPGI
2020-03,SRE
2020-03,STE
2020-03,STX
2020-03,SWK
2020-03,SWKS
2020-03,SYK
2020-03,SYY
2020-03,TAP
2020-03,TDG
2020-03,TEL
2020-03,TFX
2020-03,TGT
2020-03,TIF
2020-03,TJX
2020-03,TMO
2020-03,TMUS
2020-03,TROW
2020-03,TSCO
2020-03,TSN
2020-03,TT
2020-03,TTWO
2020-03,TWTR
2020-03,TXN
2020-03,TXT
2020-03,UA
2020-03,UAL
2020-03,UHS
2020-03,ULTA
2020-03,UNH
2020-03,UNP
2020-03,UPS
2020-03,URI
2020-03,V
2020-03,VAR
2020-03,VFC
2020-03,VLO
2020-03,VMC
2020-03,VNO
2020-03,VRSK
2020-03,VRSN
2020-03,VRTX
2020-03,VTR
2020-03,VZ
2020-03,WAB
2020-03,WAT
2020-03,WBA
2020-03,WDC
2020-03,WEC
2020-03,WELL
2020-03,WHR
2020-03,WM
2020-03,WMB
2020-03,WMT
2020-03,WRK
2020-03,WU
2020-03,WY
2020-03,WYNN
2020-03,XEC
2020-03,XEL
2020-03,XLNX
2020-03,XOM
2020-03,XRAY
2020-03,XRX
2020-03,XYL
2020-03,YUM
2020-03,ZBH
2020-03,ZBRA
2020-03,ZTS
2020-04,A
2020-04,AAL
2020-04,AAPL
2020-04,ABBV
2020-04,ABMD
2020-04,ABT
2020-04,ACN
2020-04,ADBE
2020-04,ADI
2020-04,ADM
2020-04,ADP
2020-04,ADSK
2020-04,AEE
2020-04,AEP
2020-04,AIV
2020-04,AJG
2020-04,AKAM
2020-04,ALB
2020-04,ALGN
2020-04,ALXN
2020-04,AMAT
2020-04,AMCR
2020-04,AMD
2020-04,AME
2020-04,AMGN
2020-04,AMP
2020-04,AMZN
2020-04,ANET
2020-04,ANSS
2020-04,AON
2020-04,AOS
2020-04,APA
2020-04,APH
2020-04,APTV
2020-04,ARE
2020-04,ARNC
2020-04,ATO
2020-04,ATVI
2020-04,AVB
2020-04,AVGO
2020-04,AVY
2020-04,AWK
2020-04,AZO
2020-04,BA
2020-04,BAX
2020-04,BBY
2020-04,BDX
2020-04,BEN
2020-04,BKNG
2020-04,BKR
2020-04,BLK
2020-04,BMY
2020-04,BR
2020-04,BRK.B
2020-04,BSX
2020-04,BWA
2020-04,BXP
2020-04,CAG
2020-04,CAH
2020-04,CAT
2020-04,CBOE
2020-04,CBRE
2020-04,CCL
2020-04,CDNS
2020-04,CDW
2020-04,CE
2020-04,CERN
2020-04,CF
2020-04,CHD
2020-04,CHRW
2020-04,CHTR
2020-04,CL
2020-04,CMCSA
2020-04,CME
2020-04,CMG
2020-04,CMI
2020-04,CNC
2020-04,COO
2020-04,COP
2020-04,COST
2020-04,COTY
2020-04,CPRT
2020-04,CRM
2020-04,CSCO
2020-04,CSX
2020-04,CTAS
2020-04,CTSH
2020-04,CTVA
2020-04,CTXS
